InvoiceMonth,MeatIndustryCash,MiscAndMilkIndustryCash,RadiologicalCash,GovernmentCash
2020-02,2078583.12,4499.83,0,196612.74
2020-03,2148193.84,3425.73,132852.35,215452.38
2020-04,1317138.94,4725.17,4177.46,438518.42
2020-05,2377269.74,3702.03,25159.3,8948.58
2020-06,2351913.66,4543.7,182549.99,114697.6
2020-07,2721674.88,4814.3,124190.4,548644.84
2020-08,2133017.21,2084.7,0,280219.89
2020-09,1909820.96,3412.2,110709.36,342143.48
2020-10,2615528.29,5177.05,3921.05,466095.3
2020-11,2461103.2,3768.01,31971.25,205641.86
2020-12,1977760.35,2265,13314.46,333155.34
2021-01,2275526.93,2329.85,164163.88,402376.91
