InvoiceMonth,MeatIndustryCash,MiscAndMilkIndustryCash,RadiologicalCash,GovernmentCash
2017-06,1982093.09,4143.78,190880.21,315425.12
2017-07,1963665.23,4512.9,25162.71,1072827.29
2017-08,1556398,9141.63,5940.08,839077.7
2017-09,2289736.24,4146.1,227862.45,692916.2
2017-10,2019981.18,5841.05,22526.88,636719.64
2017-11,1686735,4187.02,7558.05,1075679.76
2017-12,2007416.99,4727,271184.98,929226.65
2018-01,2294520.19,4205.65,77463.91,821872.33
2018-02,2151305.11,2748.15,0,660422.18
2018-03,2234388.32,4670.7,7454.18,739434.11
2018-04,1638658.7,3425.95,190130.93,573414.36
2018-05,2192227.53,2692.17,78984.45,199902.56
