InvoiceMonth,MeatIndustryCash,MiscAndMilkIndustryCash,RadiologicalCash,GovernmentCash
2017-11,1686735,4187.02,7558.05,1075679.76
2017-12,2007416.99,4727,271184.98,929226.65
2018-01,2294520.19,4205.65,77463.91,821872.33
2018-02,2151305.11,2748.15,0,660422.18
2018-03,2234388.32,4670.7,7454.18,739434.11
2018-04,1638658.7,3425.95,190130.93,573414.36
2018-05,2192227.53,2692.17,78984.45,199902.56
2018-06,2255157.17,6358.69,159280.3,153328.06
2018-07,1793741.56,4168,72935.56,225527.78
2018-08,1995248.88,3692.5,2562.88,234247.95
2018-09,2163567.12,5402.3,0.01,131117.98
2018-10,2135510.19,12212.94,347600,268724.04
