InvoiceMonth,MeatIndustryCash,MiscAndMilkIndustryCash,RadiologicalCash,GovernmentCash
2016-10,2051583.94,3891.99,146739.57,581183.87
2016-11,1344522.9,10419.4,0,672018.04
2016-12,1520068.18,4679.5,69207.93,1220783.83
2017-01,1985515.31,4834.25,279525.82,1143794.55
2017-02,1261779.65,11149.12,50901.57,1137433.93
2017-03,1267493.87,4409.71,222849.84,492667.13
2017-04,1668896.21,4783,102391.31,530772.69
2017-05,1550428.99,4071,0,1393761.27
2017-06,1982093.09,4143.78,190880.21,315425.12
2017-07,1963665.23,4512.9,25162.71,1072827.29
2017-08,1556398,9141.63,5940.08,839077.7
2017-09,2289736.24,4146.1,227862.45,692916.2
